,WBArea_Permanent_Identifier,area_skm,HRT_hrs,throughflow,order,relEvasion,lakeAreaQuants_skm,lakeHRTQuants_hrs
1,{00032587-2EE7-4A6E-93FB-AD785C552997},0.00059815,19.14721342,1,1,0.311995861,0.001,75.3
2,{001938B4-A003-4A71-9045-3733BA813E8A},0.067,18769.04635,1,1,1,97,227872.2
3,{003876B1-EEAD-410E-91D2-9713A15DB8F2},0.003,37.50248425,1,1,0.519271962,0.004,75.3
4,{003D8D11-26DC-4B6B-8F0F-437F63BC0712},0.00120181,70.24423131,1,1,0.746382015,0.004,75.3
5,{00425FED-7A60-4D22-A7F0-A5776E505499},0.001,123.0599608,1,1,0.909595359,0.001,376.6
6,{004D1BF7-22AF-4374-B488-B44BBF9A3EE5},0.001,307.649902,1,1,0.997542595,0.001,376.6
7,{004D9CFE-AE73-4F38-8C28-DEA3FC414A09},0.001,615.299804,1,1,0.999993961,0.001,227872.2
8,{005031A1-7D29-4772-AA7B-6EDB7FBB2018},0.001,22.78888163,1,1,0.359230272,0.001,75.3
9,{0050C32C-9991-4595-8C75-81FD769C6304},0.00087046,15.70079429,1,1,0.264091212,0.001,75.3
10,{005FE58B-DF85-425B-AE06-E9E4C4D89DC9},0.001,76.9124755,1,1,0.777351792,0.001,376.6
11,{0063405E-070A-4CAD-8725-9856AB77E99D},0.002,242.0536807,1,1,0.991151456,0.004,376.6
12,{006C4A40-B0A1-4B49-8A70-A20DBCB8C83E},0.001,123.0599608,1,1,0.909595359,0.001,376.6
13,{006FC68C-FD27-4B0C-AE7B-C5C1B2930B6B},0.001,615.299804,1,1,0.999993961,0.001,227872.2
14,{007D8C59-FE62-4608-B2EB-006A57D67970},0.002,58.09288337,1,1,0.678449469,0.004,75.3
15,{0082766C-1BF5-47BA-A0AF-92A37B31E22A},0.001,68.36664488,1,1,0.73690902,0.001,75.3
16,{0086F710-E7AA-4334-B6DD-723F65458EB9},0.001,123.0599608,1,1,0.909595359,0.001,376.6
17,{008A93E1-3B03-4ED8-B05E-8CA81EB34EBA},0.001,32.38420021,1,2,0.468732378,0.001,75.3
18,{008C7D7C-D738-4C20-A708-0CBA431A3952},0.002,44.00976013,1,1,0.576645712,0.004,75.3
19,{009CCC73-D6D9-43D1-9913-6D12C58A427A},0.001,307.649902,1,1,0.997542595,0.001,376.6
20,{009F48CB-270D-401D-91A6-4A655315A0E0},0.004,489.7123606,1,1,0.999929822,0.004,227872.2
21,{00B035B8-3ED6-4EF7-93F2-4DCF8837B47D},0.01,5334.0463,1,1,1,97,227872.2
22,{00BDBDCB-7350-4689-8EB0-365348D8CA4E},0.002,484.1073614,1,1,0.999921703,0.004,227872.2
23,{00C1F714-3FDC-45E1-A94C-C0A4ABE6F419},0.017,3431.324095,1,1,1,97,227872.2
24,{00C94164-8201-4537-ADEB-BB0D8554AAB9},0.00078649,456.9310363,1,1,0.999866876,0.001,227872.2
25,{00F3A1F8-4E42-4C79-8E5D-57F9A60705BD},0.006,5665.212125,1,1,1,97,227872.2
26,{00F47837-137F-48AC-A0E8-0D19EEF7B8B6},0.001,87.89997199,1,1,0.820352182,0.001,376.6
27,{0104C7CF-B9E1-47E7-B83C-120F4772CC70},0.002,111.7170834,1,1,0.887175773,0.004,376.6
28,{0105B03B-62EE-46B1-9D71-64323D4ADCFD},0.001,25.63749183,1,2,0.393906349,0.001,75.3
29,{0111C0F8-0345-481D-AA94-039D6681ABEB},0.001,123.0599608,1,1,0.909595359,0.001,376.6
30,{0121737F-7717-4278-84A4-2513972BBBB0},0.002,1452.322084,1,1,1,0.004,227872.2
31,{012EE941-484D-4788-9BCB-9A580D7D9368},0.083,6384.056136,1,1,1,97,227872.2
32,{01345E4C-BB77-4F90-A09B-ED784AE32C06},0.001,307.649902,1,1,0.997542595,0.001,376.6
33,{0140BCB5-5BFC-4A1D-B2EE-92A343E15084},0.003,600.039748,1,1,0.999991864,0.004,227872.2
34,{0146BA37-1FAC-498A-9BCE-5C72AA122C4A},0.002,484.1073614,1,1,0.999921703,0.004,227872.2
35,{015449AE-9271-409E-A25F-0AC527C0A979},0.001,615.299804,1,1,0.999993961,0.001,227872.2
36,{015BDD10-EDB9-43FC-80EC-767CCA34451A},0.001,68.36664488,1,1,0.73690902,0.001,75.3
37,{01629B5F-17B0-4457-88F6-0BE5852B5EBF},0.001,123.0599608,1,1,0.909595359,0.001,376.6
38,{016F72ED-19F2-46FD-90B7-F75E6BA8957C},0.002,145.2322084,1,1,0.94136957,0.004,376.6
39,{01767B3C-B977-4FD9-BF7F-F1D6F86E8561},0.00043256,12.81442994,1,1,0.221414205,0.001,75.3
40,{017A7361-5C97-4441-AACD-65A854DFA183},0.001,76.9124755,1,1,0.777351792,0.001,376.6
41,{017BE762-579B-47D9-BD38-591578DB2CA2},0.001,51.27498366,1,1,0.632650486,0.001,75.3
42,{017D2B36-71F1-4098-93BB-EA8D319A8D09},0.00073484,420.0486968,1,1,0.999726412,0.001,227872.2
43,{017DF108-009A-4C4A-90E3-EB7524E5A948},0.002,207.4745835,1,1,0.982614955,0.004,376.6
44,{018B7ED6-FE4A-497B-BE4F-012A006F8D50},0.001,153.824951,1,2,0.950427775,0.001,376.6
45,{01959805-D4CF-4589-A9BC-09E2C6B20FA5},0.001,20.50999347,1,1,0.330066357,0.001,75.3
46,{019F5692-7F47-4455-BA80-2112F313EF10},0.001,205.0999347,1,2,0.981789667,0.001,376.6
47,{01A59D1C-0759-4743-AB23-91B9379EB659},0.001,43.949986,1,1,0.576151185,0.001,75.3
48,{01AA34EF-A9B9-44AF-A2DE-8747137D9AB1},0.002,80.68456023,1,2,0.793165047,0.004,376.6
49,{01C8BAB7-1468-4883-B24C-84D699DEFD58},0.005,161.41823,1,2,0.957260316,97,376.6
50,{01F2751D-223C-4298-B86D-27497AB16A4A},0.002,290.4644168,1,2,0.996562473,0.004,376.6
51,{0202AF67-33FD-4AC1-BE00-8FDF614C9B79},0.001,10.25499673,1,2,0.181505258,0.001,75.3
52,{021BABB2-9737-4E6A-8EBA-1D02ED73DEFE},0.00220671,205.0676576,1,2,0.981778184,0.004,376.6
53,{022CD166-DC7F-4E87-AB92-0AB8D6A4B112},0.002,96.82147228,1,1,0.849079332,0.004,376.6
54,{02320C50-4631-4EE9-AE35-5FCE7296C558},0.001,68.36664488,1,1,0.73690902,0.001,75.3
55,{0236095F-D9F8-4E84-82CA-B372C32C5340},0.001,102.5499673,1,2,0.865054335,0.001,376.6
56,{023B828D-4385-4BD1-AD47-19DA0D20C31B},0.001,205.0999347,1,1,0.981789667,0.001,376.6
57,{0240EFA7-3F2E-4EAC-9D28-8042EF0D5C15},0.002,66.01464019,1,2,0.724541649,0.004,75.3
58,{024515A9-103D-45DF-B8B6-42DA22706612},0.001,102.5499673,1,1,0.865054335,0.001,376.6
59,{0250E693-725D-4F47-9D79-CF8719E84C08},0.003,240.0158992,1,1,0.990792187,0.004,376.6
60,{025161FE-598B-4C9A-8104-C78A147B5FDB},0.001,205.0999347,1,1,0.981789667,0.001,376.6
61,{0259E0CC-6BFE-40B8-891E-79FB6BDB999A},0.001,47.33075415,1,1,0.603233593,0.001,75.3
62,{0265205B-1905-4552-BFE1-B078F35799EB},0.002,242.0536807,1,1,0.991151456,0.004,376.6
63,{026768F5-344D-415E-96D0-D19966431E4C},0.014,337.2082377,1,2,0.99862038,97,376.6
64,{026D84D5-1190-4BA3-BC45-0618D8EC4A88},0.001,123.0599608,1,1,0.909595359,0.001,376.6
65,{0277F8E6-A584-4E05-977A-9E0D35488A12},0.001,615.299804,1,1,0.999993961,0.001,227872.2
66,{027AD60F-FFD2-4D7F-B8CD-3435A5AB178F},0.004,685.5973048,1,1,0.99999847,0.004,227872.2
67,{027E0976-D155-406F-8064-C94E6DFEDA9B},0.001,153.824951,1,1,0.950427775,0.001,376.6
68,{02888189-728E-42FF-BF0B-F73FEE93D538},0.00029913,0.579562562,1,3,0.011255499,0.001,75.3
69,{028BF986-3901-4CD6-8610-E0DC7006D445},0.042,10523.04426,1,1,1,97,227872.2
70,{028E9B1D-A5E6-4F45-BEAC-8D488C455890},0.001,24.61199216,1,2,0.381644618,0.001,75.3
71,{0290D13E-E19A-45B4-A69A-B8018240D872},0.028,4775.574126,1,1,1,97,227872.2
72,{02944B10-2E55-4654-AB38-FB6FD674A7BD},0.001,615.299804,1,1,0.999993961,0.001,227872.2
73,{029EB32D-DBD6-4BE9-B1AB-878A0C560D87},0.001,615.299804,1,1,0.999993961,0.001,227872.2
74,{02A0E4C2-F1AE-4375-828D-87F2B9918692},0.003,400.0264987,1,1,0.999595492,0.004,227872.2
75,{02A3783A-BB22-44EC-AE4B-32BA40CB03CB},0.001,153.824951,1,1,0.950427775,0.001,376.6
76,{02A791E0-95E9-480A-B774-56270CA9AE73},0.005,564.9638049,1,2,0.99998386,97,227872.2
77,{02A8610A-57F7-4398-8A38-80CCE06E18F7},0.004,21.29184176,1,3,0.340218617,0.004,75.3
78,{02B38D82-B9EB-4214-8462-4BE280616B4A},0.008,449.5135272,1,1,0.999846123,97,227872.2
79,{02BFB269-A02A-4F4D-AD60-E23D0B873E77},0.001,76.9124755,1,1,0.777351792,0.001,376.6
80,{02D3C29B-A47C-421E-9776-04839D8B839D},0.001,102.5499673,1,1,0.865054335,0.001,376.6
81,{02D9A9D1-A102-4D6F-81DB-09AA35806958},0.001,153.824951,1,1,0.950427775,0.001,376.6
82,{02FDC3AE-B556-4826-B86B-00C9B5EAA24A},0.002,60.51342017,1,2,0.693297053,0.004,75.3
83,{0304F5AD-7D86-41C8-B50D-EB67B5ECAA83},0.003,600.039748,1,1,0.999991864,0.004,227872.2
84,{0305AF6B-C092-4919-A252-170C968E353B},0.001,307.649902,1,1,0.997542595,0.001,376.6
85,{0306B2AC-07EF-4097-BFF6-69102F9C1BA7},0.001,29.29999066,1,1,0.435746863,0.001,75.3
86,{031BD3D7-CB61-4663-94FC-55CDA36F2702},0.001,307.649902,1,1,0.997542595,0.001,376.6
87,{0325E169-1C2A-42DE-ACE0-54B8564BC54F},0.001,51.27498366,1,2,0.632650486,0.001,75.3
88,{03268E2E-C30B-4861-BD07-0AF15378D765},0.001,47.33075415,2,1,0.409384011,0.001,75.3
89,{032ADFB9-2300-4B2A-B8AB-232F5FAC3CC0},0.001,153.824951,1,1,0.950427775,0.001,376.6
90,{032B5C48-7515-41AF-BE9C-FC702B52ECFF},0.001,307.649902,1,1,0.997542595,0.001,376.6
91,{03386B4D-D589-4332-B91F-7C24423D49B4},0.001,34.18332244,1,2,0.487076048,0.001,75.3
92,{0339CE35-8C44-48F9-B6AC-2F2A81112521},0.001,205.0999347,1,1,0.981789667,0.001,376.6
93,{0341F686-6E28-4F35-858D-E2800D721EDD},0.006,2832.606062,1,1,1,97,227872.2
94,{034C8890-2983-4E5C-9832-F44DF839F3F5},0.00475781,2125.025625,1,1,1,97,227872.2
95,{0360515B-22FF-4EBB-91B1-28BC3B292724},0.001,102.5499673,1,1,0.865054335,0.001,376.6
96,{036930F8-DA39-49BB-AEFC-C4C3292600AC},0.001,16.62972443,1,2,0.277322235,0.001,75.3
97,{036978C9-546D-4FDD-9BD9-1B195D428898},0.004,489.7123606,1,2,0.999929822,0.004,227872.2
98,{03702A50-7572-4025-955F-9EF328422395},0.001,10.25499673,1,1,0.181505258,0.001,75.3
99,{03819A36-CC6C-4126-B4FF-D62C1F2E5965},0.001,205.0999347,1,1,0.981789667,0.001,376.6
100,{03834607-D912-484F-98C4-5B748F26E338},0.001,307.649902,1,1,0.997542595,0.001,376.6
101,{038B317B-708D-4AC3-AF06-239822229BD1},0.001,47.33075415,1,1,0.603233593,0.001,75.3
102,{03931CE9-CA99-4245-884E-3B22A5D16B2B},0.00056482,25.26516292,1,1,0.389482843,0.001,75.3
103,{03965A33-A59A-494A-B1DE-02DD86A058C5},0.001,615.299804,1,1,0.999993961,0.001,227872.2
104,{03A57766-25AE-4CC1-83DF-E44201987CAC},0.001,61.5299804,1,2,0.699326354,0.001,75.3
105,{03CD8CE8-5A65-4B6D-B1D4-CFFE950A8047},0.023,2994.108716,1,1,1,97,227872.2
106,{03D41556-F5F6-4F5B-A28B-C5AE507E2502},0.001,102.5499673,1,1,0.865054335,0.001,376.6
107,{03D59619-9872-40B2-B5C1-516678AA441C},0.001,87.89997199,1,1,0.820352182,0.001,376.6
108,{03EBA16E-391B-4707-804B-A5AA22538329},0.002,25.93432293,3,2,0.312443542,0.004,75.3
109,{03F8067E-F78C-4ACE-92A8-CCB031F9D812},0.004,118.2064319,1,1,0.900606282,0.004,376.6
110,{03FF4CA1-CB80-48BE-A5BB-D5A8234464D3},0.005,2259.85522,1,1,1,97,227872.2
111,{040FC829-6BD6-4865-9887-F08F9FC47114},0.005,1506.570146,1,1,1,97,227872.2
112,{0418E676-E961-488C-8A96-7DD0F65B0151},0.007,979.6370645,1,1,0.999999995,97,227872.2
113,{041FEA7B-DE74-4FAA-A0E2-9F8181EE4EE2},0.00127228,829.2104036,1,1,0.999999907,0.004,227872.2
114,{0426882B-A762-448B-A767-2A4D1A70AFE9},0.001,14.64999533,1,2,0.248832151,0.001,75.3
115,{042E8E2B-6E17-4C0F-8EE2-D7EDC467C1E3},0.005,753.2850732,1,1,0.999999592,97,227872.2
116,{043A72DE-403A-4016-83B9-67546CD99767},0.002,15.12835504,1,2,0.255817442,0.004,75.3
117,{04402350-44B7-4665-B8F3-FFCC988861BD},0.00097381,6.689849398,1,2,0.122482272,0.001,75.3
118,{0448439A-C0A3-479E-8E33-85342EC7BF26},0.003,88.89477748,1,2,0.823808932,0.004,376.6
119,{0458AD94-E8EA-425E-898C-BBD0A69C1615},0.002,1452.322084,1,1,1,0.004,227872.2
120,{0468E044-7754-4C5B-AD74-99D2B9305F88},0.002,1452.322084,1,1,1,0.004,227872.2
